total_enthalpy,free_energy,homo,lumo,gap
-41.60060307,-41.51355606,-0.374983133,-0.308221782,0.077012754
-49.11535689,-49.73945304,-0.36830045,-0.322673689,0.046212807
-34.05793465,-33.87262514,-0.357535393,-0.23004779,0.125842336
-37.62931112,-37.10489846,-0.376788745,-0.227261905,0.164518527
-27.1141013,-27.21737908,-0.352511836,-0.224426499,0.121236722
-38.85360827,-38.94512057,-0.364319822,-0.270870572,0.094737366
-49.19938277,-49.13592168,-0.361478621,-0.254810817,0.105771832
-57.49108436,-58.32279813,-0.347298191,-0.227077454,0.118047197
-23.72232853,-23.50767744,-0.353856064,-0.22315627,0.133754815
-49.32487087,-49.65682136,-0.35036302,-0.22132625,0.12767963
-62.79348273,-62.35186964,-0.350714092,0.010346553,0.387351976
-37.03318557,-36.41800188,-0.352495747,-0.214904278,0.125569855
-61.49540868,-62.39898665,-0.340430893,-0.26420298,0.080466696
-23.52910814,-23.453802,-0.381042745,-0.226966861,0.159559679
-42.82963804,-42.75526643,-0.358696386,-0.228291998,0.126342961
-25.11762108,-19.48949393,-0.3537171,-0.061230506,0.32807808
-53.07812881,-53.59190464,-0.356580701,-0.224823315,0.130637249
-34.19997731,-33.90479371,-0.381807303,-0.26458596,0.11348361
-47.81381534,-48.03743942,-0.352948635,-0.252110861,0.100301465
-57.07730081,-57.57020004,-0.353024457,-0.224710383,0.129262181
-49.96185225,-50.5129678,-0.357354772,-0.230813089,0.123494676
-42.13254826,-42.14032859,-0.356514815,-0.223092406,0.131908772
-32.2188293,-30.54196422,-0.369486954,-0.225125265,0.165762936
-61.36433459,-61.01232279,-0.34568406,-0.272873507,0.079582359
-36.40502549,-35.52922215,-0.350296604,0.002742785,0.367017588
-60.91194036,-60.02789476,-0.343268855,-0.251339042,0.09752291
-60.88842393,-60.01039138,-0.342872445,-0.250625739,0.096970084
-55.85486119,-55.6165526,-0.34561515,-0.216810926,0.126653912
-51.06756559,-51.2288088,-0.364232946,-0.226580245,0.138279539
-50.00450612,-50.50042644,-0.355388969,-0.232052346,0.120290774
-31.72331299,-27.58164132,-0.349417216,-0.058119945,0.314438808
-54.37530289,-54.27432696,-0.354601135,-0.220078852,0.130291392
-52.98797004,-52.89342684,-0.35163377,-0.238103615,0.109400565
-51.1836049,-51.38857055,-0.354808189,-0.223968242,0.125392847
-47.92842697,-48.30897697,-0.356010648,-0.230512438,0.12263913
-61.62838634,-61.86025619,-0.344165356,-0.22087669,0.122317025
-16.84440258,-17.06909303,-0.363473619,-0.191703067,0.17802949
-25.4002864,-25.17526615,-0.367841889,-0.205684687,0.179448938
-44.59896552,-45.00932862,-0.356475294,-0.23651644,0.117231514
-26.49501006,-24.06518923,-0.357765544,-0.198760727,0.163568026
-23.74166362,-23.91522284,-0.365969431,-0.193929966,0.179927041
-63.97778756,-64.81060803,-0.378099032,-0.276807882,0.094027364
-64.61690663,-64.97741145,-0.344701009,-0.219962645,0.123954205
-37.29030233,-36.2434674,-0.348263807,-0.268901569,0.094120551
-78.79637129,-79.3516191,-0.343800164,-0.230110309,0.113600683
-79.17582526,-79.02824833,-0.346254914,-0.264791395,0.078643024
-34.92176558,-34.97363833,-0.351689674,-0.259912008,0.093309883
-19.59645183,-14.92802409,-0.368518664,-0.199021012,0.16678648
-38.82883111,-38.46854869,-0.345206372,-0.219800659,0.123187065
-68.78121268,-69.06400886,-0.344284206,-0.248377094,0.101430037
-48.02655119,-48.28270943,-0.354554066,-0.23149955,0.119230057
-55.83645486,-55.63433058,-0.346702806,-0.218110531,0.123800532
-53.38723116,-53.45975656,-0.353320844,-0.22366578,0.122936866
-37.63791942,-37.31869119,-0.388294062,-0.328223388,0.073021356
-53.46742879,-53.57592213,-0.349376956,0.016055255,0.390601422
-41.01545761,-40.56906125,-0.348777884,-0.20091212,0.157337
-33.43506696,-33.59696474,-0.365980262,-0.269711283,0.097637064
-34.95842856,-34.50751663,-0.346631711,-0.21416631,0.134135028
-44.53880723,-45.00908091,-0.338720552,0.036545686,0.398912657
-34.76861235,-33.3010108,-0.353017772,-0.250945053,0.112908435
-35.34133085,-33.92748377,-0.349994921,-0.225005127,0.126334627
-42.69978055,-42.71759624,-0.352035785,-0.237118793,0.123675194
-32.5531943,-30.73416914,-0.348481869,-0.220513639,0.131698055
-32.50324468,-32.06504015,-0.370658336,-0.280347199,0.092058884
-35.44654934,-34.35264968,-0.346963864,-0.217153079,0.136978582
-31.20964364,-30.43241595,-0.341623144,-0.211596755,0.132239061
-54.50415486,-55.06482087,-0.385065889,-0.33137657,0.057737988
-43.07867229,-42.53041094,-0.377336848,-0.276528687,0.094538269
-74.71445571,-75.09897198,-0.353114199,0.003884028,0.38041265
-29.29259924,-26.42563124,-0.348437153,-0.241772963,0.115867925
-40.11175909,-39.61847916,-0.340146101,-0.193150325,0.245336817
-35.82544875,-35.46871789,-0.355586237,-0.235220601,0.12190061
-26.02713394,-19.57069884,-0.362302208,-0.1891246,0.170428748
-39.85028638,-39.56147749,-0.376002147,-0.275389469,0.087956532
-24.22769277,-24.22686934,-0.361844275,-0.186047698,0.175877426
-39.98816114,-39.57199296,-0.355318695,-0.214722918,0.134349618
-26.31000267,-23.37977126,-0.370292069,-0.079440394,0.355506321
-36.78954351,-35.7039525,-0.351921789,-0.249169822,0.117794976
-37.81051137,-37.26863711,-0.387701234,-0.259810937,0.133277079
-65.91587394,-66.01215857,-0.358611793,-0.247769434,0.109963015
-47.38927622,-47.14130886,-0.346597605,-0.23036354,0.104295989
-52.24815347,-52.37420932,-0.330837511,-0.222370908,0.109862237
-34.22491183,-33.90602269,-0.365541447,-0.215518455,0.140902997
-84.54973573,-84.49371325,-0.353038104,-0.31519464,0.033676843
-56.72611644,-56.76192048,-0.350254347,-0.25539451,0.102728069
-25.25610606,-19.97387368,-0.385645942,-0.002140776,0.321590545
-42.60260811,-42.6626512,-0.352277534,-0.212163745,0.128569507
-42.91839408,-42.56936003,-0.342847706,-0.26684124,0.086384099
-53.58899268,-53.59129975,-0.350359231,-0.254220963,0.100931512
-79.97419591,-80.26779166,-0.349044671,-0.245407357,0.10261517
-58.87191205,-59.0748499,-0.358316899,-0.281918631,0.078480567
-38.44948268,-37.55909136,-0.337216379,-0.168567319,0.175442067
