total_enthalpy,free_energy,homo,lumo,gap
-29.24763115,-29.76862036,-0.403435657,-0.278289036,0.11155236
-36.95623668,-36.45311616,-0.390839984,-0.271759832,0.121298909
-33.4620624,-33.45358109,-0.407668031,-0.240626222,0.151180418
-36.97532615,-36.41676137,-0.394272842,-0.262951504,0.126003491
-29.18857431,-29.92570716,-0.401745593,-0.268054623,0.128099681
-43.98901412,-44.33728543,-0.417720349,-0.321808898,0.092965652
-80.10040936,-80.28287548,-0.377632417,-0.297463198,0.07118877
-37.18002939,-36.82701821,-0.379510927,-0.270795004,0.108353979
-40.17351393,-39.81444015,-0.388889628,-0.263572465,0.12339351
-69.17668536,-69.37205387,-0.38530797,-0.252801723,0.130033733
-42.93319475,-42.84998244,-0.392494692,-0.272659188,0.122769327
-29.21603797,-29.15000519,-0.396040401,-0.304894179,0.092185805
-36.2562167,-35.81162658,-0.404246344,-0.270920276,0.126641862
-34.61666419,-34.87895304,-0.399125908,-0.273636377,0.120294127
-30.01199269,-29.77299093,-0.407697619,-0.272208285,0.129446451
-29.9266888,-29.7759328,-0.394155545,-0.299459324,0.097264844
-25.66737773,-25.22238989,-0.377314472,-0.302536582,0.080088883
-23.84605698,-23.81503786,-0.397547808,-0.26506357,0.131102105
-42.98689778,-42.84205552,-0.394940898,-0.249988116,0.154920125
-37.35350788,-36.79800659,-0.375020777,-0.241129756,0.14609171
-39.09409178,-38.72176482,-0.388627464,-0.290843886,0.099436178
-33.48203841,-33.17318143,-0.403688289,-0.231492992,0.166041152
-41.81558407,-42.08491116,-0.346329477,-0.229403039,0.147812334
-51.43299031,-51.62752859,-0.394352844,-0.258067373,0.125653848
-35.68589301,-35.2757679,-0.393244033,-0.295030888,0.102424209
-34.97158471,-34.68688638,-0.394999813,-0.29055097,0.106779784
-34.43266999,-33.66753128,-0.345619787,-0.202765131,0.184943746
-30.22744958,-30.19127455,-0.390322926,-0.249831294,0.139558884
-40.64803721,-40.20993386,-0.429558226,-0.352446148,0.087097051
-43.01270732,-42.91073058,-0.395850941,-0.264614145,0.122519609
-21.66337963,-22.238002,-0.417747166,-0.290992229,0.128750561
-48.67312336,-49.3937561,-0.375473965,-0.284750377,0.096987758
-40.43051939,-39.86822726,-0.385755866,-0.259646826,0.128009421
-33.64962196,-33.31512103,-0.387316067,-0.243570321,0.142005392
-31.89928992,-31.53057176,-0.388454321,-0.254604718,0.133876717
-40.19101837,-39.89971605,-0.389074824,-0.266815781,0.12269171
-35.71679922,-35.59733841,-0.393901441,-0.280582184,0.114311642
-33.13426013,-32.10817738,-0.381083554,-0.243609978,0.131779809
-31.86555906,-30.53801612,-0.397996576,-0.237366166,0.167135505
-60.64836642,-60.65130008,-0.390668887,-0.246513987,0.149755462
-31.30722481,-29.46251965,-0.412002588,-0.302601594,0.115019147
-39.94959074,-39.69936146,-0.394934234,-0.265656798,0.123507718
-52.05259199,-52.25318928,-0.340176791,-0.292901672,0.04998752
-42.02475457,-42.20557019,-0.409508413,-0.320564865,0.076262896
-27.56777354,-25.43368241,-0.386188346,-0.23641189,0.160221189
-46.24115847,-46.45798208,-0.404564015,-0.244661822,0.157362846
-35.77197215,-35.34383808,-0.396609128,-0.238420984,0.157315462
-21.26164501,-21.5783235,-0.325167308,-0.198012284,0.142940614
-32.46160401,-32.30022868,-0.409428368,-0.230282788,0.166716182
-13.26110191,-14.0724691,-0.399854327,-0.272239028,0.124238143
-34.65743367,-33.69185742,-0.411522858,-0.230827724,0.16112403
