smiles,pkb
CC(=O)n1cccn1,3.16
Nc1ccc2c([N+](=O)[O-])cccc2c1,3.16
COc1ccc2ccccc2n1,3.17
CC(=O)c1cccnc1,3.18
Cc1n[nH]c2c(N)cccc12,3.18
Cc1cnnc2c(O)cccc12,3.18
CCOc1c(C#N)cnc2ccccc12,3.18
CCc1c(C)c[nH]c1C,3.19
COc1nc(N)c2ncn(C3OC(CO)C(O)C3O)c2n1,3.2
[NH3+]c1ccc(C=NNC(=O)c2ccncc2)cc1,3.2
Cc1ccc(N2CCCC(=O)C(O)CCC2)cc1,3.2
Cn1c(N)nc2nc[nH]c2c1=O,3.2
O=C1CC2OCC=C3C4CC5N(CCC56c5ccccc5N1C6C24)C3S(=O)(=O)[O-],3.2
COc1cnnc2ccccc12,3.21
COc1ccc(-c2cnc(-c3ccc(N)cc3)o2)cc1,3.22
Cc1ccnnc1,3.22
c1ccc(CSc2ccccn2)cc1,3.23
Ic1cccnc1,3.25
C#CC(C)Nc1ccccc1,3.25
O=[N+](O)C1=CC=CC1,3.25
CSc1cc(C)ncn1,3.25
COC(=O)c1ccncc1,3.26
NNC(=O)c1cccnc1,3.27
Oc1ccc(C=Nc2ncc3nc[nH]c3n2)cc1,3.27
CSc1nc(N)n[nH]1,3.27
CCOCCNc1ccc(Cl)cc1,3.28
Nc1ccc2ncncc2c1,3.29
Nc1cccc2[nH]ncc12,3.29
CC(=O)Oc1cccc2cccnc12,3.3
CCC(CC)Nc1ncnc2c1ncn2C1OC(CO)C(O)C1O,3.3
COCCNc1ccc(Cl)cc1,3.3
CC(Nc1ncnc2c1ncn2C1OC(CO)C(O)C1O)c1ccccc1,3.3
Nc1nccc(-c2csc(N)n2)n1,3.3
CN(C)c1ccc(SC#N)cc1,3.3
Oc1ccc2ccnnc2c1,3.31
[SH2+]c1cccc2ncccc12,3.31
Cn1cnc2c(N=O)c(O)ccc21,3.31
CC(=O)c1ccc(/N=N/c2c(N)n[nH]c2N)cc1,3.32
CC(=O)c1ccc(N=Nc2c(N)n[nH]c2N)cc1,3.32
O=C(Nc1ccccn1)c1ccccc1,3.33
O=C(NN=Cc1ccccc1O)c1ccncc1,3.33
CCCCCCCN(CCCCCCC)c1ccccc1,3.33
Cn1ccc(=O)cc1,3.33
Fc1cccc2cccnc12,3.34
COc1cc2c(OC)ncnc2c(OC)c1OC,3.34
CCOC(=O)c1cccnc1,3.35
NC(=O)c1cccnc1,3.35
CSc1ccc(N)cc1Cl,3.38
Oc1ccccc1C=Nc1ncc2nc[nH]c2n1,3.38
COc1ccc(/N=N/c2c(N)n[nH]c2N)cc1,3.39
COc1ccc(N=Nc2c(N)n[nH]c2N)cc1,3.39
CC(C)S(=O)(=O)n1c(N)nc2ccc(/C(=C/C(N)=O)c3cc(F)ccc3F)cc21,3.4
CC(Cc1ccccc1)Nc1ncnc2c1ncn2C1OC(CO)C(O)C1O,3.4
O=NCc1ccccn1,3.4
O=C(c1cnccn1)N1CCCC1c1ccc(-c2cccc(Cl)c2)nc1,3.4
Nc1n[nH]c(N)c1N=Nc1ccc(C(=O)O)cc1,3.4
Nc1ccc(Cl)c2ccccc12,3.4
CC(C)S(=O)(=O)n1c(N)nc2ccc(C(=CC(N)=O)c3cc(F)ccc3F)cc21,3.4
O=Cc1ncccc1O,3.4
Nc1ncc2ncn(C3OC(CO)C(O)C3O)c2n1,3.4
CSc1cc2ccccc2cn1,3.41
CC(C)S(=O)(=O)n1c(N)nc2ccc(/C(=C/C(N)=O)c3cccc(F)c3)cc21,3.41
CC(C)S(=O)(=O)n1c(N)nc2ccc(C(=CC(N)=O)c3cccc(F)c3)cc21,3.41
Nc1cccc(Br)c1,3.41
Oc1cccc2cncnc12,3.41
Nc1cccc(F)c1,3.41
Cc1ccc(NCO)cc1,3.42
Nc1n[nH]c(N)c1/N=N/c1ccccc1,3.43
COCc1cccc(COC)n1,3.43
Nc1n[nH]c(N)c1N=Nc1ccccc1,3.43
CSc1ccc(N)cc1I,3.44
O=S(=O)([O-])c1ccncc1,3.44
CCOC(=O)c1ccncc1,3.45
Nc1ncccn1,3.45
COC(=O)c1c2ccccc2nc2ccccc12,3.45
CCn1nnc(CC(=O)O)n1,3.45
Cc1cccnn1,3.46
O=[N+]([O-])c1cccc2cnccc12,3.46
CCOc1ccccn1,3.47
c1ccc2cnncc2c1,3.47
c1ccc2c(c1)NCCN2,3.475
c1ccc(C2=Nc3ccccc3CO2)cc1,3.48
Nc1n[nH]c(N)c1N=Nc1ccc(O)cc1,3.48
CCCCc1cccnn1,3.49
CCCCc1nc(N)c2ncsc2n1,3.49
CCN(CC)C(=O)c1cccnc1,3.5
CCOC(=O)N1CCN(Cc2nnc(-c3cc(Cl)ccc3F)o2)CC1,3.5
Cc1ccc2c(c1)NCCN2,3.5
NC(=O)C1CCN(c2c(Cl)cncc2Cl)CC1,3.5
c1cnc2c(c1)ccc1cccnc12,3.5
CCOC(=O)N1CCN(Cc2nnc(-c3cccc(Cl)c3)o2)CC1,3.5
Cc1cc(C(=O)N2CCCC2c2ccc(-c3cccc(Cl)c3)nc2)no1,3.5
Cc1cc2cc[nH]c2c(C(=O)Nc2ccccn2)n1,3.5
CCc1c(C)nn(C)c1O,3.5
