smiles,pka
C=C(SC1CCCCC1)C(=O)O,3.4
CC(C)c1ccc(C(=O)/C=C/C(=O)O)cc1,3.4
CCOC(=O)c1cc(C#N)c(N2CC(C(=O)NS(=O)(=O)Cc3ccc(C)cc3)C2)nc1C,3.4
CC(c1ccccc1)N(CC(=O)O)S(=O)(=O)c1ccc(OC(F)F)cc1,3.4
O=C(O)/C=C(\I)c1ccccc1,3.4
O=C(c1ccc(Cl)cc1)c1ccc2n1CCC2C(=O)O,3.4
Cc1[nH]c(C(=O)NC2CCN(c3ncc(C(=O)O)s3)CC2)c(Cl)c1Cl,3.4
O=C(O)CN(Cc1ccccc1)S(=O)(=O)c1ccc(OC(F)F)cc1,3.4
O=C(O)Cn1ccc2ccccc21,3.4
CC(C)c1ccc(C(=O)C=CC(=O)O)cc1,3.4
O=[N+]([O-])c1ccc(S)c([N+](=O)[O-])c1,3.4
O=C(O)CSc1cccc([N+](=O)[O-])c1,3.4
CC(C)CN(CC(C)C)C(=S)S,3.4
C=CC#CCC(=O)O,3.41
O=C(O)c1ccc(-c2ccc(Cl)c(OC3OC(CO)C(O)C(O)C3O)c2)cc1,3.41
O=C(O)c1ccc(Cl)s1,3.41
O=C(O)C(O)c1ccccc1,3.41
CCC(C)(O)C(C(=O)O)c1ccc(-c2ccccc2)cc1,3.41
COc1ccc(C(O)C(=O)O)cc1,3.42
CC(C)(C)c1ccc(C(=O)/C=C/C(=O)O)cc1,3.42
Cc1ccc(C(=O)O)o1,3.42
CC(C)(C)c1ccc(C(=O)C=CC(=O)O)cc1,3.42
C=C(C)C(C)(C(N)=O)C(=O)O,3.42
CC(C)Oc1ccc(C(=O)c2ccc3n2CCC3C(=O)O)cc1,3.43
CCC(Oc1ccccc1C)C(=O)O,3.43
C[N+]1(CCC(=O)O)CCCCC1,3.43
Cc1c(Cl)cccc1C(=O)O,3.43
O=C(O)c1ccc[se]1,3.43
Cc1cc(C)c(C)c(C(=O)O)c1C,3.43
O=C(O)c1ccc([N+](=O)[O-])cc1,3.44
COc1cccc(OC)c1C(=O)O,3.44
Cc1cc(C(C)(C)C)cc(C)c1C(=O)O,3.44
Cc1ccc(C(=O)/C=C/C(=O)O)cc1,3.44
Cc1ccc(C(=O)c2ccc3n2CCC3C(=O)O)cc1,3.44
Cc1cccc(C(=O)c2ccc3n2CCC3C(=O)O)c1,3.44
Cc1ccccc1C(=O)c1ccc2n1CCC2C(=O)O,3.44
N#CCC(C(=O)O)c1ccccc1,3.44
O=C(O)CC#Cc1ccccc1,3.44
O=C(c1cccc(Cl)c1)c1ccc2n1CCC2C(=O)O,3.44
Cc1ccc(C(=O)C=CC(=O)O)cc1,3.44
Cn1nnc(CC(=O)O)n1,3.44
Cc1cc(C)c(C(=O)O)c(C)c1,3.45
CC1CCC(O)(C(C(=O)O)c2ccc(-c3ccccc3)cc2)CC1,3.45
N#Cc1cccc(-c2nn[nH]n2)c1,3.45
O=C(O)C[Se]c1ccccc1[N+](=O)[O-],3.45
O=C(O)c1cccc([N+](=O)[O-])c1,3.46
O=C(O)c1ccccc1-c1ccccc1,3.46
COc1cccc(C)c1C(=O)O,3.46
CCOc1ccc(C(=O)c2ccc3n2CCC3C(=O)O)cc1,3.46
CCOc1cccc(C(=O)c2ccc3n2CCC3C(=O)O)c1,3.46
Cc1ccccc1SCC(=O)O,3.46
O=C(c1cccc(F)c1)c1ccc2n1CCC2C(=O)O,3.46
O=C(O)c1cccs1,3.46
NS(=O)(=O)c1ccc(C(=O)O)cc1,3.47
O=P(O)(C1CCCCC1)C1CCCCC1,3.47
O=C(O)COc1ccc(Cl)cc1C1CCCCCC1,3.48
